# ra	dec	mag	bv	bayer	flamsteed	constellation
# Bright Star Catalogue V/50 (Hoffleit & Warren 1991), CDS Strasbourg. J2000.
149.1083	8.9331	5.85	+1.13			
152.8033	37.4019	5.85	+1.29			
159.7817	37.9100	5.85	+0.57		38	LMi
177.9233	-30.8350	5.85	+0.56			
183.3579	10.2622	5.85	+0.27		12	Vir
188.7837	21.8814	5.85	+1.22			
192.1642	60.3200	5.85	+0.46			
192.2775	83.4181	5.85	-0.06			
198.5717	-78.4472	5.85	+1.07			
205.3746	64.8225	5.85	+0.07			
216.7796	-65.8217	5.85	+1.50			
219.5633	54.0233	5.85	-0.01			
222.5658	23.9119	5.85	+0.56			
225.5267	-28.0606	5.85	+0.16		60	Hya
227.1629	-42.8678	5.85	-0.11			
237.1433	28.1567	5.85	+0.77			
239.4183	-20.9831	5.85	+0.02			
246.0450	6.9481	5.85	-0.01		21	Her
261.1750	-21.4417	5.85	+0.93			
261.6842	48.2600	5.85	+0.12		77	Her
273.1437	-73.6717	5.85	+0.46			
271.5308	-8.3239	5.85	+0.21			
288.8533	30.5264	5.85	+1.67			
292.0867	2.9303	5.85	+0.01			
301.5575	53.1658	5.85	+0.39			
303.1079	-12.6175	5.85	+0.48	ξ²	2	Cap
306.3617	-28.6633	5.85	+1.10			
324.7546	20.2653	5.85	+0.32			
27.5354	22.2753	5.86	+0.74		1	Ari
30.7442	-15.3058	5.86	+0.98			
33.2537	-21.0003	5.86	+1.01			
42.1912	25.1881	5.86	-0.07			
62.5063	86.6261	5.86	+0.37			
65.3629	-0.0981	5.86	+1.32			
72.3292	32.5883	5.86	+0.24			
72.8675	-34.9064	5.86	+0.08			
82.9004	-45.9253	5.86	+1.35			
104.2333	46.7050	5.86	+1.08			
112.3571	-7.5511	5.86	+0.48			
118.8808	8.8628	5.86	+0.35			
134.6829	-16.1328	5.86	+0.53			
138.7383	-37.6025	5.86	+0.83			
139.3642	-74.7347	5.86	-0.02			
151.0121	-18.1017	5.86	-0.06			
162.4312	-9.8528	5.86	+1.07			
191.6917	-33.3156	5.86	+1.34			
236.9083	55.3767	5.86	+0.25			
242.8237	-41.1197	5.86	+0.27			
254.9900	-25.0919	5.86	+1.62			
264.2867	72.4558	5.86	+1.01			
272.8154	-75.8914	5.86	+1.24			
271.9563	26.1014	5.86	+0.12		100	Her
272.7733	-41.3592	5.86	+0.29			
279.8096	-47.9097	5.86	+0.23			
279.7225	-21.0519	5.86	+0.68			
312.3233	-25.7814	5.86	-0.07			
328.8796	65.3208	5.86	-0.06			
339.2450	-40.5911	5.86	+0.06	σ²		Gru
0.6504	66.0989	5.86	+1.09			
4.6596	31.5172	5.87	-0.01			
7.8567	33.5817	5.87	+1.14			
9.8408	21.2506	5.87	+0.85		54	Psc
12.0379	72.6750	5.87	+1.01			
19.9512	-0.5089	5.87	+0.64		42	Cet
24.9475	-56.1981	5.87	+0.90			
24.4817	-82.9750	5.87	+0.61			
29.8987	21.0583	5.87	+1.03			
35.5208	-17.6622	5.87	+1.23			
61.5129	68.6800	5.87	+1.54			
64.4175	-63.2556	5.87	-0.07	θ		Ret
70.8400	49.9739	5.87	+0.02			
81.7721	-40.9436	5.87	+0.23			
85.5579	-22.3736	5.87	+0.11		12	Lep
87.4729	-22.9717	5.87	+0.06			
88.8762	-4.6164	5.87	+1.18			
89.2062	11.5211	5.87	+1.10			
91.2642	42.9817	5.87	+0.30		39	Aur
91.3625	-10.2428	5.87	+0.37			
94.2896	-37.2531	5.87	+0.14			
96.3183	-0.9461	5.87	+0.56			
96.6650	-1.5072	5.87	+0.08			
98.1133	32.4547	5.87	+0.14			
104.1346	46.2742	5.87	-0.06	ψ9		Aur
110.2679	-25.8914	5.87	+1.64			
112.4983	-52.6511	5.87	+1.01			
113.5796	-23.4747	5.87				
120.2079	-54.1514	5.87	-0.14			
128.4313	4.7567	5.87	+1.07			
131.7333	12.1100	5.87	+0.11		50	Cnc
132.5092	-29.4631	5.87	+0.95			
134.4825	-48.5733	5.87	+1.07			
139.6758	-51.5606	5.87	+0.54			
142.8871	-35.7150	5.87	+1.29			
181.0692	21.4592	5.87	+0.22		2	Com
189.1975	-5.8319	5.87	+0.07		25	Vir
200.5404	5.1547	5.87	+0.12		64	Vir
206.5563	41.0886	5.87	+0.21			
207.7883	34.6644	5.87	+1.62			
214.7533	-25.8156	5.87	+0.50			
218.3850	-54.9983	5.87	+0.48			
218.3746	-52.6800	5.87	+1.09			
218.8812	-41.5172	5.87	-0.08			
223.1458	-63.8100	5.87	+0.72			
224.7233	-11.1442	5.87	+1.26		18	Lib
234.3833	54.5089	5.87	+1.07			
238.6646	-25.2436	5.87	-0.06		3	Sco
242.9483	42.3744	5.87	+1.45			
250.4396	-33.1464	5.87	+0.65			
251.8325	42.2389	5.87	+1.61			
266.1750	-42.7289	5.87	+0.16			
269.9029	-4.8214	5.87	+1.56			
290.4621	-18.3083	5.87	+1.06	ρ²	45	Sgr
292.8408	26.6172	5.87	+0.93			
304.5058	-21.8100	5.87	+1.00		4	Cap
314.4192	-16.0317	5.87	+0.18			
316.5971	71.4319	5.87	+0.40			
320.2679	-4.5600	5.87	+0.92		16	Aqr
340.0929	-30.6589	5.87	+1.30			
347.4358	-28.0886	5.87	+1.31			
353.5375	-1.2475	5.87	+0.30		14	Psc
358.1250	-14.2511	5.87	+1.28			
23.5692	37.2372	5.88	-0.07			
30.0383	3.0972	5.88	+0.62		112	Psc
36.6467	-20.0428	5.88	+1.26			
42.9237	46.8419	5.88	+0.89			
65.4658	56.5067	5.88				
66.8700	11.2125	5.88	+0.05			
68.6583	28.9611	5.88	-0.06			
84.5046	7.5414	5.88	-0.07			
93.6192	17.9064	5.88	+0.22			
97.6967	58.1628	5.88	+0.94		6	Lyn
98.8233	9.9883	5.88	+1.51			
116.1425	-37.9431	5.88	-0.11			
116.5433	-37.9339	5.88	-0.11			
127.4425	67.2975	5.88	+0.97			
129.2742	9.6556	5.88	+0.09		36	Cnc
135.2854	-68.6839	5.88	+1.63			
142.5975	-58.3617	5.88	+1.70			
162.0592	-31.6883	5.88	+0.03			
165.0483	-14.0833	5.88	+1.50			
169.1746	49.4764	5.88	+1.08			
177.1612	14.2842	5.88	+0.29			
188.0417	-73.0017	5.88	+1.11			
201.5692	46.0281	5.88	+0.97			
220.1829	16.4178	5.88	+0.24	π²	29	Boo
236.0075	2.5150	5.88	+0.68	ψ	23	Ser
242.1821	-23.6856	5.88	+0.02			
245.6204	-43.9122	5.88	+1.16			
253.6121	-42.4789	5.88	+0.64			
253.3550	-20.4156	5.88	+0.68			
259.1321	1.2106	5.88	+0.06			
262.8637	-80.8592	5.88	+1.67			
260.7292	-58.0103	5.88	+1.07			
272.9379	33.4469	5.88	+0.01			
281.6796	52.9881	5.88	-0.09			
282.2225	19.3286	5.88	+0.03			
285.8738	-68.7553	5.88	+0.56			
287.4908	-41.8925	5.88	-0.08			
299.9475	-9.9583	5.88	+0.58			
300.4362	24.8003	5.88	-0.12			
307.3350	36.4547	5.88	+0.52		42	Cyg
312.6742	-12.5450	5.88	+1.07			
325.7683	-14.3997	5.88	+0.25		44	Cap
334.1104	57.2203	5.88	+0.93			
338.1100	39.7797	5.88	+0.16			
1.0567	62.2878	5.88	+0.30		9	Cas
4.2879	47.9475	5.89	-0.09			
9.1971	15.2317	5.89	-0.15		53	Psc
10.1100	-59.4544	5.89	+0.55			
23.7046	18.4606	5.89	+1.52			
28.9767	37.2778	5.89	+1.63			
37.2021	29.9319	5.89	+0.58		13	Tri
44.9162	41.0331	5.89	+1.44			
45.4071	-28.0917	5.89	+0.79	ε		For
46.8292	64.0578	5.89	-0.03			
60.2033	18.1939	5.89	+0.32			
61.9975	17.3397	5.89	+1.50			
76.9813	21.7047	5.89	+0.19		105	Tau
77.9388	1.0369	5.89	+0.66			
81.4992	-19.6956	5.89	+0.40			
89.8408	49.9244	5.89	+1.23			
104.2521	33.6811	5.89	+0.88			
109.8433	2.7406	5.89	+1.07			
115.2438	23.0186	5.89	+1.58			
125.1088	57.7433	5.89	+0.39		30	Lyn
134.1271	40.2017	5.89	+0.35			
145.3967	31.2781	5.89	+1.60			
164.8787	-16.3539	5.89	+1.63			
167.4104	43.2075	5.89	+1.57			
171.3879	-37.7478	5.89	+1.54			
180.6571	-69.1922	5.89	-0.08			
189.7646	-30.4222	5.89	+1.21			
191.8288	62.7808	5.89				
192.5446	37.5169	5.89	+0.15			
193.7438	-44.1519	5.89	+0.64			
198.3479	-50.7000	5.89	-0.02			
198.5504	-58.6839	5.89	+1.08			
198.6796	-48.9567	5.89	+1.06			
200.8287	-4.9244	5.89	+1.43		65	Vir
208.4296	-53.3736	5.89	+0.01			
225.3042	-38.0583	5.89	+1.24			
228.0179	18.9758	5.89	+1.53			
229.6092	-0.4614	5.89	+1.51			
231.5613	-68.3092	5.89	+1.02			
258.3229	-67.1967	5.89	+1.06			
269.0792	-15.8125	5.89	+0.05			
275.6471	12.0289	5.89	+0.04			
278.2304	-73.9656	5.89	+0.98			
284.6954	13.9067	5.89	+0.25		10	Aql
284.5079	38.2661	5.89	-0.17			
293.5354	-40.0347	5.89	+0.09			
316.0196	-5.8231	5.89	+0.68		12	Aqr
333.4108	28.6083	5.89	+1.15			
338.5121	-1.5742	5.89	+0.99		60	Aqr
355.2871	-11.6806	5.89	+1.00			
355.4863	7.2506	5.89	+0.10			
5.1017	30.9358	5.90	-0.10			
11.0504	-38.4217	5.90	+1.16	λ²		Scl
12.3079	-24.1364	5.90	+0.95			
27.7379	51.9333	5.90	+0.43			
38.2792	-34.6500	5.90	+1.06	λ¹		For
39.2383	38.7328	5.90	+0.48			
45.4754	26.4622	5.90	+0.14		49	Ari
48.3500	48.1769	5.90	+0.97			
49.9825	27.0711	5.90	+0.86		59	Ari
53.1667	35.4617	5.90	-0.06			
56.6142	-29.3381	5.90	+0.12	σ		For
61.3342	22.0089	5.90	+0.62		39	Tau
67.0975	14.7408	5.90	+0.32		76	Tau
71.0221	-8.5036	5.90	-0.11		56	Eri
77.8300	-2.4908	5.90	+0.46			
80.8271	-8.4158	5.90	-0.03			
88.7458	31.7017	5.90	+0.14			
89.6017	1.8369	5.90	+0.21		59	Ori
97.5125	46.6856	5.90	+1.44		47	Aur
100.9112	3.9322	5.90	-0.02			
108.5646	-9.9475	5.90	+1.52			
111.6763	-34.1408	5.90	-0.17			
113.0242	-8.8808	5.90	+0.54			
116.8021	-22.5197	5.90	-0.19			
125.7079	-26.3481	5.90	+0.37			
128.2292	38.0164	5.90	+1.11			
130.2721	-48.9225	5.90	-0.21			
153.4412	-40.3458	5.90	+1.21			
155.7762	33.9081	5.90	+0.14		27	LMi
157.9642	32.3794	5.90	+0.11		33	LMi
173.0829	-66.9622	5.90	+1.13			
184.6679	-0.7872	5.90	+0.17		13	Vir
193.4546	-60.3769	5.90	+0.20	κ		Cru
198.2037	-66.2269	5.90	+0.06			
204.3487	-46.4283	5.90	-0.12			
208.2929	28.6481	5.90	+0.20			
214.6596	-18.7161	5.90	0.00			
231.9642	60.6703	5.90	+1.44			
241.1529	-37.8631	5.90	+0.40			
268.0567	-34.7992	5.90	-0.10			
271.9563	26.0975	5.90	+0.14		100	Her
277.3988	23.8661	5.90	-0.10			
281.6187	-0.9617	5.90	+0.13		5	Aql
305.9350	37.4764	5.90	-0.20			
314.1079	49.1958	5.90	+1.04			
315.9483	53.2861	5.90	+0.99			
328.7979	-61.8864	5.90	+0.39			
340.4892	14.5164	5.90	+1.11			
342.0454	37.4167	5.90	+1.03			
342.7592	85.3736	5.90	+1.32			
357.4208	36.4253	5.90	+0.79			
10.1767	-4.3519	5.91	+1.10			
21.0858	-6.9147	5.91	+0.41			
27.1083	3.6856	5.91	+0.97			
33.6333	-41.1667	5.91	+0.97			
43.9521	18.3317	5.91	+1.47	ρ²	45	Ari
49.5117	-28.7969	5.91	+0.33			
56.5396	6.8031	5.91	+0.99			
57.1621	0.2278	5.91	+1.23			
65.5950	20.8214	5.91	+1.66			
78.2008	-6.0572	5.91	+0.96			
93.7854	13.8511	5.91	-0.23			
93.7850	-20.2722	5.91	+1.32			
106.8429	34.0094	5.91	+1.51			
109.9483	7.1428	5.91	+0.53			
114.1446	5.8617	5.91	+0.60			
117.5996	-50.5097	5.91	+1.09			
129.8233	52.7117	5.91	+1.17			
133.1608	-48.3592	5.91	-0.15			
142.1275	-66.7019	5.91	+0.01			
143.3592	-22.8639	5.91	+0.02			
152.5312	-8.4083	5.91	+0.02		17	Sex
158.1400	-44.6189	5.91	+0.92			
159.5104	-57.2564	5.91	-0.14			
162.3504	-59.3236	5.91	0.00			
163.9267	0.7369	5.91	+0.42		55	Leo
164.2829	-50.7650	5.91	+0.18			
169.7292	1.6506	5.91	+1.04		76	Leo
178.7492	-63.2789	5.91	+0.19			
197.4492	16.8486	5.91	+1.45			
197.9650	-69.9419	5.91	+0.42			
197.5133	38.4989	5.91	+0.29		17	CVn
203.6687	-13.2144	5.91	+0.02			
206.8650	-50.2494	5.91	+0.29			
205.6637	78.0644	5.91	+1.01			
209.1163	1.0506	5.91	+0.20		92	Vir
209.8221	-50.3700	5.91	+0.96			
213.4200	-0.8456	5.91	+0.47			
219.5583	18.2983	5.91	+1.10			
220.1767	13.5342	5.91	+0.21			
222.1850	-66.5939	5.91	-0.07			
227.7846	-84.7875	5.91	-0.06	ω		Oct
242.2454	3.4544	5.91	+1.47			
244.7967	49.0381	5.91	+1.37			
250.3471	-68.2961	5.91	-0.08	η¹		TrA
249.7717	-37.2175	5.91	0.00			
252.3942	13.2614	5.91	+0.03			
255.9617	-38.1522	5.91	+0.38			
259.8017	-59.6944	5.91	+1.37			
259.7383	-34.9897	5.91	+1.04			
282.4413	32.8128	5.91	-0.16	ν¹	8	Lyr
290.0671	57.6453	5.91	+1.58			
296.4162	7.6133	5.91	+0.18	υ	49	Aql
298.0300	47.9319	5.91	-0.18			
300.2454	8.5581	5.91	+1.52			
304.0025	45.5794	5.91	+0.38			
309.5775	-81.2889	5.91	+1.71			
307.3629	56.0681	5.91	-0.04			
309.6463	23.6806	5.91	+0.98			
316.3721	78.1264	5.91	-0.07			
343.7608	37.0769	5.91	+0.42			
15.9042	61.0750	5.92	+0.49			
18.1892	-37.8564	5.92	+0.28			
24.1133	48.7228	5.92	+1.21			
35.7275	-51.0922	5.92	+0.22			
37.6350	25.2350	5.92	+0.41			
42.5617	-35.8436	5.92	+0.90	η²		For
43.3933	-38.4369	5.92	+0.44	ψ		For
53.6108	24.4644	5.92	+0.13		7	Tau
65.0600	41.8081	5.92	+0.94			
69.5658	20.6847	5.92	-0.05			
75.4596	0.7222	5.92	+1.27			
88.7362	19.7497	5.92	-0.17		57	Ori
94.0321	-16.6178	5.92	-0.17			
100.1342	71.7489	5.92	+1.19			
101.3450	-31.7936	5.92	+0.48			
104.1075	9.9564	5.92	-0.08			
108.0508	-25.9425	5.92	-0.17		26	CMa
109.3904	52.1308	5.92	+1.26			
114.1958	55.7553	5.92	+1.12			
114.4746	48.7736	5.92	+0.22			
116.6671	65.4558	5.92	+1.18		51	Cam
138.3938	-47.3386	5.92	-0.05			
142.1958	-62.2731	5.92	+1.10			
159.7475	-58.8169	5.92	+1.65			
163.8217	-60.5169	5.92	+1.08			
183.0917	-62.9508	5.92	+0.29			
185.4896	-56.3747	5.92	+1.57			
210.8592	-56.2136	5.92	+1.22			
218.1354	22.2600	5.92	+0.35		26	Boo
236.6450	55.4747	5.92	+1.39			
241.5263	-23.6064	5.92	-0.08			
243.5929	-33.0114	5.92	+1.02			
246.3963	-23.4461	5.92		ρ	5	Oph
250.4029	26.9169	5.92	+0.40		39	Her
261.8017	-50.6303	5.92	+0.08			
267.6175	-53.6122	5.92	-0.08			
276.9563	-29.8164	5.92	+0.52			
288.6654	-45.1933	5.92	+0.90			
296.0771	69.3369	5.92	+0.05			
298.0500	-19.0450	5.92	+0.98		57	Sgr
299.8354	45.7722	5.92	+0.16			
303.0029	26.4789	5.92	-0.11		20	Vul
333.0333	24.9500	5.92	+1.51			
342.5908	41.9536	5.92	+0.08		14	Lac
349.1654	-44.4892	5.92	+1.06			
8.2933	54.8950	5.93	+1.04			
8.8867	-0.5056	5.93	+0.44		14	Cet
12.0725	7.3000	5.93	+1.10		62	Psc
21.2721	-64.3694	5.93	+1.56			
22.5954	-26.2078	5.93	+1.34			
30.9508	-0.3403	5.93	+0.88		61	Cet
32.8992	-1.8253	5.93	+0.97		63	Cet
48.1075	-44.4197	5.93	+0.44			
50.4692	49.0708	5.93	+0.43			
51.5938	-27.3175	5.93	+0.94			
58.3888	-46.8936	5.93	+1.24			
60.1696	-30.4908	5.93	+0.04			
83.5167	-1.4706	5.93	+1.55			
85.2733	0.3378	5.93	+0.30			
91.1675	-45.0789	5.93	+0.49			
92.3850	22.1900	5.93	+1.63			
97.5471	-10.0814	5.93	+1.38			
97.6929	-27.7694	5.93	-0.15			
101.6350	8.5872	5.93	-0.17		16	Mon
105.8767	29.3372	5.93	+0.60			
111.7346	20.2572	5.93	+0.30		61	Gem
115.0567	-19.6608	5.93	+1.16			
117.3112	-35.2433	5.93	-0.05			
122.5158	58.2481	5.93	+1.39			
137.2129	33.8822	5.93	+0.60			
142.8842	-31.8719	5.93	+0.26	ζ²		Ant
149.3067	57.4183	5.93	+0.89			
148.4592	-51.1469	5.93	-0.15			
162.1692	-1.9589	5.93	+1.60			
163.3779	69.8539	5.93	+0.99			
163.6233	-61.8267	5.93	+1.75			
178.9171	-28.4769	5.93	+1.50			
190.9087	-1.5769	5.93	+0.86			
193.2663	-54.9525	5.93	+1.31			
194.1312	-72.1853	5.93	+1.13			
225.0492	-77.1603	5.93	+1.05			
224.8462	4.5678	5.93	+1.60			
225.3629	60.2044	5.93	+0.09			
234.1221	16.1189	5.93	+0.29	τ⁵	18	Ser
240.5229	52.9158	5.93	+1.48			
255.9138	13.6053	5.93	0.00			
260.7288	-37.2206	5.93	+1.08			
264.3633	-50.0600	5.93	+1.10			
284.0025	-23.1736	5.93	-0.02			
285.9892	-51.0186	5.93	+1.24			
288.1529	21.5544	5.93	+0.03			
291.2671	-29.3092	5.93	+1.26			
304.3804	66.8539	5.93	+0.58			
305.6887	41.0261	5.93	+1.60			
311.5417	-21.5142	5.93	+0.04		17	Cap
322.2496	22.1794	5.93	+1.53			
329.7225	62.6983	5.93	+1.67			
335.8838	-7.1944	5.93	+1.00			
340.0767	53.8461	5.93	+0.93			
349.8504	-18.0753	5.93	+1.52			
358.2317	-3.1556	5.93	+1.07		24	Psc
1.9450	-22.5089	5.94	+0.14			
3.4254	-26.0219	5.94	+1.55			
7.5829	59.9772	5.94	+0.01			
11.2379	-42.6767	5.94	+0.28			
17.9312	-2.2511	5.94	+1.40		34	Cet
24.6142	-36.5283	5.94	+1.05			
27.1621	37.9528	5.94	+0.97			
27.7167	11.0433	5.94	+0.30			
27.7271	-50.2061	5.94	+0.14			
30.6467	13.4767	5.94	+1.59			
52.6892	6.1886	5.94	+0.96			
64.3300	-6.4719	5.94	+1.08			
68.3779	72.5286	5.94	+0.30			
66.2721	-61.2383	5.94	+1.54			
69.1008	64.2617	5.94	-0.03			
75.5950	-31.7714	5.94	+1.17			
81.1604	31.1431	5.94	+0.04			
81.7037	34.3917	5.94	+0.14			
82.6088	15.3603	5.94	+0.14			
84.2683	11.0350	5.94	+1.58			
86.6267	56.1156	5.94	+0.17		26	Cam
88.0846	-57.1561	5.94	+0.66			
95.5150	59.3722	5.94			4	Lyn
99.4225	61.4811	5.94	+0.89		8	Lyn
105.6062	17.7556	5.94	+1.63			
108.7379	-41.4258	5.94	-0.16			
115.3967	3.6247	5.94	-0.04			
129.5792	32.8019	5.94	+1.12			
143.2325	-13.5169	5.94	+1.50			
144.8663	67.2722	5.94	+1.52			
150.5000	-60.4208	5.94	+0.26			
171.7896	-12.3567	5.94	+0.49	κ	16	Crt
172.6296	43.1733	5.94	+0.49		58	UMa
197.4387	-10.3294	5.94	+1.49		50	Vir
206.5792	38.5039	5.94	+0.94			
214.8496	-37.0036	5.94	+0.08			
217.4604	0.8289	5.94	+0.16			
221.7713	-38.2908	5.94	+1.33			
236.0942	-41.8194	5.94	0.00			
238.7512	-19.3831	5.94	-0.01		47	Lib
244.7517	-14.8725	5.94	+1.52			
248.1071	60.8233	5.94	+0.02			
253.5021	-57.9094	5.94	+1.59			
254.1196	-52.2839	5.94	-0.08			
259.5971	38.8114	5.94	+1.00			
262.1612	-55.1697	5.94	+1.11			
261.6925	34.6958	5.94	-0.01			
264.4008	-15.5711	5.94	+0.37			
266.9033	-14.7258	5.94	+0.05			
270.7708	-8.1803	5.94		τ	69	Oph
277.9875	-1.0031	5.94	+0.16		61	Ser
279.4767	-21.3978	5.94	+0.19			
295.6858	32.4267	5.94	+0.11			
297.5575	-47.5572	5.94	+1.70			
307.4746	-18.5833	5.94	+0.08	ο	12	Cap
315.6133	-38.5306	5.94	+1.11			
316.3612	5.9583	5.94	+0.54		4	Equ
321.4458	36.6675	5.94	-0.08		69	Cyg
326.1304	14.7719	5.94	+0.59			
340.4004	41.5494	5.94				
345.3821	-4.7114	5.94	+1.00			
347.6133	43.5442	5.94	+0.44		6	And
357.5612	-9.9742	5.94	+1.13			
17.6400	2.4456	5.95	+1.51		33	Cet
41.2071	67.8247	5.95	+0.10			
43.3971	-22.3764	5.95	+1.04			
45.1837	10.8703	5.95	+1.59			
47.9283	81.4706	5.95	+0.15			
62.2567	13.3983	5.95	+0.05			
75.0763	39.3947	5.95	+0.41		5	Aur
86.6458	1.1681	5.95	+0.78			
108.9296	-10.5839	5.95	+1.18			
111.9288	-22.8597	5.95	-0.09			
120.4058	-37.2836	5.95	+0.14			
121.1767	-50.5906	5.95	+1.21			
125.8408	18.3322	5.95	+0.17		20	Cnc
127.1554	14.2108	5.95	+0.19		29	Cnc
133.1492	28.3308	5.95	+0.87	ρ¹	55	Cnc
136.3504	48.5303	5.95	+0.45			
137.6612	30.9631	5.95	+1.67			
148.4287	5.9583	5.95	+1.66			
156.2475	-58.5764	5.95	+0.32			
162.7725	-3.0925	5.95	+1.48			
165.9025	-0.0008	5.95	+1.22		62	Leo
173.1979	-7.8275	5.95	+1.38			
173.6771	16.7969	5.95	-0.16		90	Leo
182.4221	1.8978	5.95	+1.12		10	Vir
186.2987	-11.6103	5.95	+0.03			
187.9825	-63.5061	5.95	+0.27			
191.2479	39.2789	5.95	+0.55		10	CVn
206.6804	25.7022	5.95	+0.49		3	Boo
208.9112	-82.6661	5.95	+1.46			
216.0037	8.2436	5.95	+0.06			
228.9742	-48.0742	5.95	+0.21			
235.4775	-76.0819	5.95	-0.04			
234.9854	-59.9083	5.95	+0.48			
262.8458	-56.9206	5.95	-0.08			
265.3846	6.3128	5.95	+1.26			
268.1475	1.3050	5.95	+1.58			
271.5987	-36.0197	5.95	+0.62			
272.6317	54.2867	5.95	+0.94			
273.8038	-20.3881	5.95	+0.02		16	Sgr
277.3313	-80.2328	5.95	+1.16			
273.8208	68.7558	5.95	+1.06		37	Dra
296.9525	25.3839	5.95	+0.99			
300.0663	-37.7022	5.95	+1.00			
305.0008	13.5481	5.95	+0.31			
310.0129	43.4586	5.95	+1.19			
318.9258	77.0122	5.95	+1.50			
326.2221	62.4606	5.95	+0.31			
330.7658	-76.1186	5.95	+0.39			
332.9638	16.0406	5.95	+0.95			
334.7533	-13.3050	5.95	+1.06		45	Aqr
337.4417	-27.1072	5.95	+0.33			
341.0217	39.4656	5.95	+1.48			
354.7933	75.2928	5.95	+0.13			
356.6529	66.7822	5.95	-0.04			
1.5667	58.4367	5.96	+0.67			
21.5775	43.4578	5.96	+0.49			
33.1562	24.1678	5.96	+1.37			
49.4408	39.2833	5.96	+0.07			
51.4008	-69.3364	5.96	+0.42			
52.8367	27.5719	5.96				
54.7546	-5.6261	5.96	+0.92		21	Eri
67.1625	-19.4583	5.96	+1.22			
67.6679	-35.6536	5.96	+1.00			
76.1658	74.0669	5.96				
79.0758	34.3119	5.96	+0.22			
79.7100	-18.1300	5.96	+0.58			
84.8267	29.2153	5.96	+0.16			
84.6575	-6.5739	5.96	-0.23			
89.0596	-22.8403	5.96	+1.11			
90.4296	48.9594	5.96	+1.45			
102.9262	-36.2303	5.96	+0.18			
105.0987	-8.4069	5.96	-0.08			
106.8054	-51.9678	5.96	+1.00			
108.1071	-36.5444	5.96	-0.14			
112.6287	-54.3994	5.96	+1.56			
125.7250	-7.5433	5.96	+1.67			
128.4096	-38.8489	5.96	-0.14			
128.8700	-26.8436	5.96	+0.37			
134.1421	-16.7094	5.96	+1.54			
138.9692	72.9461	5.96	+0.18			
155.2642	68.7475	5.96	+0.20			
154.6175	-41.6683	5.96	-0.06			
174.4517	-67.6203	5.96	+1.02			
175.1775	-53.9686	5.96	+1.66			
179.8233	33.1675	5.96	+1.15			
181.2379	-60.9692	5.96	+1.67			
195.2900	17.1231	5.96	+0.96		38	Com
207.4396	61.4892	5.96	+0.96			
226.6387	-30.9189	5.96	-0.08			
251.1658	-53.1525	5.96	+1.26			
253.4271	-43.0508	5.96	+1.73			
258.8996	-38.5939	5.96	+0.58			
258.9233	23.7428	5.96	+1.31			
267.8867	-40.7725	5.96	+1.59			
268.4787	-34.7525	5.96	-0.01			
268.6133	-34.4664	5.96	-0.01			
277.4450	-14.5817	5.96	-0.04			
292.7954	-68.4339	5.96	+1.64			
293.4233	49.2625	5.96	+1.64			
295.4538	50.5253	5.96	+0.64		16	Cyg
299.6196	63.5342	5.96	+0.09			
300.8183	18.5006	5.96	+1.42			
307.3646	81.0914	5.96	+0.92		74	Dra
314.1446	44.9250	5.96	+0.05			
318.3287	-36.4239	5.96	+0.98			
319.7167	11.2033	5.96	+1.65			
331.1533	-26.8225	5.96	-0.14			
353.7058	-15.2458	5.96	+1.36			
5.3692	-77.4269	5.97	+1.40			
14.6296	66.3522	5.97	-0.02			
20.8537	20.4689	5.97	+1.71			
24.9200	16.4058	5.97	+1.12		105	Psc
44.0575	8.3817	5.97	+0.48			
58.2917	17.3269	5.97	+0.34			
71.6850	40.3128	5.97	+0.93			
73.1963	27.8975	5.97	+0.37			
76.8542	-12.4906	5.97	+0.60			
87.1454	-4.0947	5.97	+0.64			
87.5546	4.4233	5.97	+1.36			
88.0317	-9.0414	5.97	+0.10			
97.0608	70.5356	5.97				
99.1946	-13.3208	5.97	+1.56			
99.9483	12.9831	5.97	+0.06			
104.7375	3.6022	5.97	+1.06			
105.8246	9.1383	5.97	+0.12			
108.8375	-52.4997	5.97	+1.10			
111.4625	-5.7750	5.97	+0.92			
125.3000	-57.9731	5.97	-0.09			
126.4650	-64.6008	5.97	+0.96			
138.8096	34.6336	5.97	+0.86			
139.3800	46.8172	5.97	+0.04			
147.3671	-37.1864	5.97	+1.24			
154.1346	23.5031	5.97	+0.67		35	Leo
155.8604	-4.0742	5.97	-0.10		25	Sex
160.4638	-79.7833	5.97	-0.07			
185.0446	-22.1756	5.97	+0.82			
201.5475	-1.1925	5.97	+0.19			
210.2175	-66.2686	5.97	+0.35			
217.7950	-38.8697	5.97	+1.06			
233.8179	53.9219	5.97	+1.18			
242.2967	6.3789	5.97	+1.00			
255.1538	-35.9342	5.97	+1.16			
257.1979	-30.4036	5.97	+0.25			
269.2679	0.0664	5.97	+0.10			
270.9683	-24.3606	5.97	0.00		9	Sgr
286.7317	-48.2992	5.97	-0.02			
286.4217	-15.6603	5.97	-0.02			
295.0296	-23.4286	5.97	+1.04			
309.7708	15.8381	5.97	-0.14			
315.3038	36.0261	5.97	+0.98			
323.0608	-33.9447	5.97	+0.05		6	PsA
321.2071	80.5247	5.97	+0.92			
338.9021	-23.9911	5.97	+0.99			
340.2038	-57.4222	5.97	+1.46			
342.8371	-29.5361	5.97	+0.91		21	PsA
